place,movie_title,rating,year,star_cast
1,The Shawshank Redemption,9.234828875553802,1994,"Frank Darabont (dir.), Tim Robbins, Morgan Freeman"
2,The Godfather,9.156527584323042,1972,"Francis Ford Coppola (dir.), Marlon Brando, Al Pacino"
3,The Dark Knight,8.987532958965796,2008,"Christopher Nolan (dir.), Christian Bale, Heath Ledger"
4,The Godfather Part II,8.98452576618543,1974,"Francis Ford Coppola (dir.), Al Pacino, Robert De Niro"
5,12 Angry Men,8.949334969632664,1957,"Sidney Lumet (dir.), Henry Fonda, Lee J. Cobb"
6,Schindler's List,8.936537924959973,1993,"Steven Spielberg (dir.), Liam Neeson, Ralph Fiennes"
7,The Lord of the Rings: The Return of the King,8.923830593127198,2003,"Peter Jackson (dir.), Elijah Wood, Viggo Mortensen"
8,Pulp Fiction,8.849588119388057,1994,"Quentin Tarantino (dir.), John Travolta, Uma Thurman"
9,The Lord of the Rings: The Fellowship of the Ring,8.805135862724837,2001,"Peter Jackson (dir.), Elijah Wood, Ian McKellen"
1," Il buono, il brutto, il cattivo",8.792439961855132,1966,"Sergio Leone (dir.), Clint Eastwood, Eli Wallach"
11,Forrest Gump,8.767897452935983,1994,"Robert Zemeckis (dir.), Tom Hanks, Robin Wright"
12,Fight Club,8.74924134771814,1999,"David Fincher (dir.), Brad Pitt, Edward Norton"
13,Inception,8.733146890105504,2010,"Christopher Nolan (dir.), Leonardo DiCaprio, Joseph Gordon-Levitt"
14,The Lord of the Rings: The Two Towers,8.729895052339973,2002,"Peter Jackson (dir.), Elijah Wood, Ian McKellen"
15,The Empire Strikes Back,8.701110010268598,1980,"Irvin Kershner (dir.), Mark Hamill, Harrison Ford"
16,The Matrix,8.670444690349978,1999,"Lana Wachowski (dir.), Keanu Reeves, Laurence Fishburne"
17,Goodfellas,8.652537347568494,1990,"Martin Scorsese (dir.), Robert De Niro, Ray Liotta"
18,One Flew Over the Cuckoo's Nest,8.64033383916517,1975,"Milos Forman (dir.), Jack Nicholson, Louise Fletcher"
19,Se7en,8.604404843772665,1995,"David Fincher (dir.), Morgan Freeman, Brad Pitt"
20,Shichinin no samurai,8.598975514703014,1954,"Akira Kurosawa (dir.), Toshirô Mifune, Takashi Shimura"
21,It's a Wonderful Life,8.59679448973945,1946,"Frank Capra (dir.), James Stewart, Donna Reed"
22,The Silence of the Lambs,8.58832475393858,1991,"Jonathan Demme (dir.), Jodie Foster, Anthony Hopkins"
23,Cidade de Deus,8.579155991542036,2002,"Fernando Meirelles (dir.), Alexandre Rodrigues, Leandro Firmino"
24,Saving Private Ryan,8.57868537531,1998,"Steven Spielberg (dir.), Tom Hanks, Matt Damon"
25,La vita è bella,8.566574962017205,1997,"Roberto Benigni (dir.), Roberto Benigni, Nicoletta Braschi"
26,The Green Mile,8.560973544386032,1999,"Frank Darabont (dir.), Tom Hanks, Michael Clarke Duncan"
27,Interstellar,8.56009423028872,2014,"Christopher Nolan (dir.), Matthew McConaughey, Anne Hathaway"
28,Star Wars,8.552741604520259,1977,"George Lucas (dir.), Mark Hamill, Harrison Ford"
29,Terminator 2: Judgment Day,8.536419582088463,1991,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton"
30,Back to the Future,8.518145668079612,1985,"Robert Zemeckis (dir.), Michael J. Fox, Christopher Lloyd"
31,Sen to Chihiro no kamikakushi,8.515290809473242,2001,"Hayao Miyazaki (dir.), Daveigh Chase, Suzanne Pleshette"
32,Psycho,8.50821891511553,1960,"Alfred Hitchcock (dir.), Anthony Perkins, Janet Leigh"
33,The Pianist,8.505461886921665,2002,"Roman Polanski (dir.), Adrien Brody, Thomas Kretschmann"
34,Léon,8.498471157849051,1994,"Luc Besson (dir.), Jean Reno, Gary Oldman"
35,Gisaengchung,8.49655761363427,2019,"Bong Joon Ho (dir.), Song Kang-ho, Sun-kyun Lee"
36,The Lion King,8.488461855834506,1994,"Roger Allers (dir.), Matthew Broderick, Jeremy Irons"
37,Gladiator,8.486356830568997,2000,"Ridley Scott (dir.), Russell Crowe, Joaquin Phoenix"
38,American History X,8.483841981934638,1998,"Tony Kaye (dir.), Edward Norton, Edward Furlong"
39,The Departed,8.47568355868535,2006,"Martin Scorsese (dir.), Leonardo DiCaprio, Matt Damon"
40,The Usual Suspects,8.474560536414991,1995,"Bryan Singer (dir.), Kevin Spacey, Gabriel Byrne"
41,The Prestige,8.468570297243176,2006,"Christopher Nolan (dir.), Christian Bale, Hugh Jackman"
42,Casablanca,8.464336649302169,1942,"Michael Curtiz (dir.), Humphrey Bogart, Ingrid Bergman"
43,Whiplash,8.46255355637217,2014,"Damien Chazelle (dir.), Miles Teller, J.K. Simmons"
44,The Intouchables,8.453716873781621,2011,"Olivier Nakache (dir.), François Cluzet, Omar Sy"
45,Hotaru no haka,8.450500349357252,1988,"Isao Takahata (dir.), Tsutomu Tatsumi, Ayano Shiraishi"
46,Seppuku,8.450406871739666,1962,"Masaki Kobayashi (dir.), Tatsuya Nakadai, Akira Ishihama"
47,Modern Times,8.448856686811004,1936,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard"
48,Once Upon a Time in the West,8.44640439485122,1968,"Sergio Leone (dir.), Henry Fonda, Charles Bronson"
49,Rear Window,8.437167168347248,1954,"Alfred Hitchcock (dir.), James Stewart, Grace Kelly"
50,Alien,8.434999810425039,1979,"Ridley Scott (dir.), Sigourney Weaver, Tom Skerritt"
51,City Lights,8.434038157409862,1931,"Charles Chaplin (dir.), Charles Chaplin, Virginia Cherrill"
52,Nuovo Cinema Paradiso,8.431394893433078,1988,"Giuseppe Tornatore (dir.), Philippe Noiret, Enzo Cannavale"
53,Apocalypse Now,8.42491668716907,1979,"Francis Ford Coppola (dir.), Martin Sheen, Marlon Brando"
54,Memento,8.424256412168706,2000,"Christopher Nolan (dir.), Guy Pearce, Carrie-Anne Moss"
55,Raiders of the Lost Ark,8.410721057550376,1981,"Steven Spielberg (dir.), Harrison Ford, Karen Allen"
56,Django Unchained,8.404447840165949,2012,"Quentin Tarantino (dir.), Jamie Foxx, Christoph Waltz"
57,WALL·E,8.393485549580324,2008,"Andrew Stanton (dir.), Ben Burtt, Elissa Knight"
58,The Lives of Others,8.385770285867812,2006,"Florian Henckel von Donnersmarck (dir.), Ulrich Mühe, Martina Gedeck"
59,Sunset Blvd,8.382959066296777,1950,"Billy Wilder (dir.), William Holden, Gloria Swanson"
60,Paths of Glory,8.371654702371664,1957,"Stanley Kubrick (dir.), Kirk Douglas, Ralph Meeker"
61,Top Gun: Maverick,8.367532971904003,2022,"Joseph Kosinski (dir.), Tom Cruise, Jennifer Connelly"
62,The Shining,8.367053701841794,1980,"Stanley Kubrick (dir.), Jack Nicholson, Shelley Duvall"
63,The Great Dictator,8.366002554222284,1940,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard"
64,Witness for the Prosecution,8.359164796428619,1957,"Billy Wilder (dir.), Tyrone Power, Marlene Dietrich"
65,Avengers: Infinity War,8.358931648837698,2018,"Anthony Russo (dir.), Robert Downey Jr., Chris Hemsworth"
66,Aliens,8.344530010982677,1986,"James Cameron (dir.), Sigourney Weaver, Michael Biehn"
67,American Beauty,8.33586062051954,1999,"Sam Mendes (dir.), Kevin Spacey, Annette Bening"
68,Dr Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.332120858507288,1964,"Stanley Kubrick (dir.), Peter Sellers, George C. Scott"
69,Spider-Man: Into the Spider-Verse,8.331456298244111,2018,"Bob Persichetti (dir.), Shameik Moore, Jake Johnson"
70,The Dark Knight Rises,8.32809409298048,2012,"Christopher Nolan (dir.), Christian Bale, Tom Hardy"
71,Oldeuboi,8.320155036730315,2003,"Park Chan-wook (dir.), Choi Min-sik, Yoo Ji-tae"
72,Joker,8.317564558066316,2019,"Todd Phillips (dir.), Joaquin Phoenix, Robert De Niro"
73,Amadeus,8.315950126450046,1984,"Milos Forman (dir.), F. Murray Abraham, Tom Hulce"
74,Braveheart,8.315301118929797,1995,"Mel Gibson (dir.), Mel Gibson, Sophie Marceau"
75,Toy Story,8.314973725152262,1995,"John Lasseter (dir.), Tom Hanks, Tim Allen"
76,Coco,8.313385522762717,2017,"Lee Unkrich (dir.), Anthony Gonzalez, Gael García Bernal"
77,Inglourious Basterds,8.313128042706174,2009,"Quentin Tarantino (dir.), Brad Pitt, Diane Kruger"
78,Das Boot,8.31269978754476,1981,"Wolfgang Petersen (dir.), Jürgen Prochnow, Herbert Grönemeyer"
79,Mononoke-hime,8.303561634343486,1997,"Hayao Miyazaki (dir.), Yôji Matsuda, Yuriko Ishida"
80,Avengers: Endgame,8.303202252283747,2019,"Anthony Russo (dir.), Robert Downey Jr., Chris Evans"
81,Once Upon a Time in America,8.297962252629702,1984,"Sergio Leone (dir.), Robert De Niro, James Woods"
82,Good Will Hunting,8.288208175643023,1997,"Gus Van Sant (dir.), Robin Williams, Matt Damon"
83,Kimi no na wa,8.277634389869146,2016,"Makoto Shinkai (dir.), Ryûnosuke Kamiki, Mone Kamishiraishi"
84,Requiem for a Dream,8.275700808794335,2000,"Darren Aronofsky (dir.), Ellen Burstyn, Jared Leto"
85,Toy Story 3,8.275535519002444,2010,"Lee Unkrich (dir.), Tom Hanks, Tim Allen"
86,Singin' in the Rain,8.273562328059691,1952,"Stanley Donen (dir.), Gene Kelly, Donald O'Connor"
87,3 Idiots,8.27121526372794,2009,"Rajkumar Hirani (dir.), Aamir Khan, Madhavan"
88,Star Wars: Episode VI - Return of the Jedi,8.266998439400684,1983,"Richard Marquand (dir.), Mark Hamill, Harrison Ford"
89,Tengoku to jigoku,8.266655341740647,1963,"Akira Kurosawa (dir.), Toshirô Mifune, Yutaka Sada"
90,2001: A Space Odyssey,8.264133912190438,1968,"Stanley Kubrick (dir.), Keir Dullea, Gary Lockwood"
91,Eternal Sunshine of the Spotless Mind,8.263429412602363,2004,"Michel Gondry (dir.), Jim Carrey, Kate Winslet"
92,Reservoir Dogs,8.263083716542248,1992,"Quentin Tarantino (dir.), Harvey Keitel, Tim Roth"
93,Capharnaüm,8.25973936453502,2018,"Nadine Labaki (dir.), Zain Al Rafeea, Yordanos Shiferaw"
94,Lawrence of Arabia,8.25595258022232,1962,"David Lean (dir.), Peter O'Toole, Alec Guinness"
95,Citizen Kane,8.255875762102296,1941,"Orson Welles (dir.), Orson Welles, Joseph Cotten"
96,Jagten,8.255863768250407,2012,"Thomas Vinterberg (dir.), Mads Mikkelsen, Thomas Bo Larsen"
97,M - Eine Stadt sucht einen Mörder,8.254178269652893,1931,"Fritz Lang (dir.), Peter Lorre, Ellen Widmann"
98,North by Northwest,8.252035147688211,1959,"Alfred Hitchcock (dir.), Cary Grant, Eva Marie Saint"
99,Idi i smotri,8.248212273523473,1985,"Elem Klimov (dir.), Aleksey Kravchenko, Olga Mironova"
10, Vertigo,8.246679809898367,1958,"Alfred Hitchcock (dir.), James Stewart, Kim Novak"
101,Le fabuleux destin d'Amélie Poulain,8.244385209779423,2001,"Jean-Pierre Jeunet (dir.), Audrey Tautou, Mathieu Kassovitz"
102,A Clockwork Orange,8.24307669577948,1971,"Stanley Kubrick (dir.), Malcolm McDowell, Patrick Magee"
103,Double Indemnity,8.23968621934744,1944,"Billy Wilder (dir.), Fred MacMurray, Barbara Stanwyck"
104,Full Metal Jacket,8.239499338853006,1987,"Stanley Kubrick (dir.), Matthew Modine, R. Lee Ermey"
105,The Apartment,8.239104391692221,1960,"Billy Wilder (dir.), Jack Lemmon, Shirley MacLaine"
106,Scarface,8.235540397332095,1983,"Brian De Palma (dir.), Al Pacino, Michelle Pfeiffer"
107,Ikiru,8.235235180570863,1952,"Akira Kurosawa (dir.), Takashi Shimura, Nobuo Kaneko"
108,The Sting,8.228592728251916,1973,"George Roy Hill (dir.), Paul Newman, Robert Redford"
109,To Kill a Mockingbird,8.228552181729999,1962,"Robert Mulligan (dir.), Gregory Peck, John Megna"
110,Taxi Driver,8.225374071529899,1976,"Martin Scorsese (dir.), Robert De Niro, Jodie Foster"
111,Heat,8.225051272841586,1995,"Michael Mann (dir.), Al Pacino, Robert De Niro"
112,Up,8.22471632167921,2009,"Pete Docter (dir.), Edward Asner, Jordan Nagai"
113,LA Confidential,8.222822239431622,1997,"Curtis Hanson (dir.), Kevin Spacey, Russell Crowe"
114,Incendies,8.22167582954976,2010,"Denis Villeneuve (dir.), Lubna Azabal, Mélissa Désormeaux-Poulin"
115,Metropolis,8.221573116362418,1927,"Fritz Lang (dir.), Brigitte Helm, Alfred Abel"
116,Jodaeiye Nader az Simin,8.221255449823435,2011,"Asghar Farhadi (dir.), Payman Maadi, Leila Hatami"
117,Die Hard,8.219880962813226,1988,"John McTiernan (dir.), Bruce Willis, Alan Rickman"
118,Hamilton,8.219784019547483,2020,"Thomas Kail (dir.), Lin-Manuel Miranda, Phillipa Soo"
119,Snatch,8.219748688990455,2000,"Guy Ritchie (dir.), Jason Statham, Brad Pitt"
120,Indiana Jones and the Last Crusade,8.218248685857297,1989,"Steven Spielberg (dir.), Harrison Ford, Sean Connery"
121,Ladri di biciclette,8.218158364455949,1948,"Vittorio De Sica (dir.), Lamberto Maggiorani, Enzo Staiola"
122,1917,8.211735920502491,2019,"Sam Mendes (dir.), Dean-Charles Chapman, George MacKay"
123,Taare Zameen Par,8.20889827864247,2007,"Aamir Khan (dir.), Darsheel Safary, Aamir Khan"
124,Der Untergang,8.204572228219424,2004,"Oliver Hirschbiegel (dir.), Bruno Ganz, Alexandra Maria Lara"
125,Per qualche dollaro in più,8.202426846338634,1965,"Sergio Leone (dir.), Clint Eastwood, Lee Van Cleef"
126,Batman Begins,8.201044944243296,2005,"Christopher Nolan (dir.), Christian Bale, Michael Caine"
127,Dangal,8.199149031464284,2016,"Nitesh Tiwari (dir.), Aamir Khan, Sakshi Tanwar"
128,The Kid,8.193833509852224,1921,"Charles Chaplin (dir.), Charles Chaplin, Edna Purviance"
129,Some Like It Hot,8.192218674236718,1959,"Billy Wilder (dir.), Marilyn Monroe, Tony Curtis"
130,All About Eve,8.181407245448634,1950,"Joseph L. Mankiewicz (dir.), Bette Davis, Anne Baxter"
131,The Father,8.180891015457608,2020,"Florian Zeller (dir.), Anthony Hopkins, Olivia Colman"
132,Green Book,8.175226338197694,2018,"Peter Farrelly (dir.), Viggo Mortensen, Mahershala Ali"
133,The Wolf of Wall Street,8.173559497884359,2013,"Martin Scorsese (dir.), Leonardo DiCaprio, Jonah Hill"
134,Spider-Man: No Way Home,8.17150991792742,2021,"Jon Watts (dir.), Tom Holland, Zendaya"
135,Judgment at Nuremberg,8.170544215707041,1961,"Stanley Kramer (dir.), Spencer Tracy, Burt Lancaster"
136,Ran,8.165100670645776,1985,"Akira Kurosawa (dir.), Tatsuya Nakadai, Akira Terao"
137,Casino,8.164109783873782,1995,"Martin Scorsese (dir.), Robert De Niro, Sharon Stone"
138,Unforgiven,8.163387603511463,1992,"Clint Eastwood (dir.), Clint Eastwood, Gene Hackman"
139,Pan's Labyrinth,8.162492688959759,2006,"Guillermo del Toro (dir.), Ivana Baquero, Ariadna Gil"
140,There Will Be Blood,8.156895696612112,2007,"Paul Thomas Anderson (dir.), Daniel Day-Lewis, Paul Dano"
141,The Truman Show,8.154369166895073,1998,"Peter Weir (dir.), Jim Carrey, Ed Harris"
142,The Sixth Sense,8.154093807151634,1999,"M. Night Shyamalan (dir.), Bruce Willis, Haley Joel Osment"
143,A Beautiful Mind,8.152536264061673,2001,"Ron Howard (dir.), Russell Crowe, Ed Harris"
144,Monty Python and the Holy Grail,8.150488900103886,1975,"Terry Gilliam (dir.), Graham Chapman, John Cleese"
145,Yôjinbô,8.149763148366779,1961,"Akira Kurosawa (dir.), Toshirô Mifune, Eijirô Tôno"
146,The Treasure of the Sierra Madre,8.148980311067312,1948,"John Huston (dir.), Humphrey Bogart, Walter Huston"
147,Shutter Island,8.146046602327509,2010,"Martin Scorsese (dir.), Leonardo DiCaprio, Emily Mortimer"
148,Jurassic Park,8.145192250089764,1993,"Steven Spielberg (dir.), Sam Neill, Laura Dern"
149,The Great Escape,8.142369658907908,1963,"John Sturges (dir.), Steve McQueen, James Garner"
150,Rashômon,8.142225841668276,1950,"Akira Kurosawa (dir.), Toshirô Mifune, Machiko Kyô"
151,Kill Bill: Vol 1,8.13795455250972,2003,"Quentin Tarantino (dir.), Uma Thurman, David Carradine"
